domain,CDN,IP
www.ctrip.com,No,['118.89.206.133']
uploads.ctrip.com,No,['30.250.11.135']
game.ctrip.com,No,['30.250.11.135']
meet.ctrip.com,No,['30.250.11.135']
investors.ctrip.com,No,['30.250.11.135']
guest.ctrip.com,No,['30.250.11.135']
education.ctrip.com,No,['30.250.11.135']
ns5.ctrip.com,No,['101.226.248.130']
top.ctrip.com,No,['140.207.228.45']
ht.ctrip.com,No,['140.207.228.45']
app.ctrip.com,No,['113.215.224.121']
es.ctrip.com,No,['140.206.211.31']
jr.ctrip.com,No,['114.80.10.31']
sport.ctrip.com,No,['140.206.211.31']
vpn2.ctrip.com,No,['112.64.124.249']
online.ctrip.com,No,['140.206.211.31']
accounts.ctrip.com,No,['140.207.228.45']
pay.ctrip.com,No,['114.80.10.85']
map.ctrip.com,No,['140.207.228.45']
go.ctrip.com,No,['140.206.211.31']
im.ctrip.com,No,['140.207.228.187']
train.ctrip.com,No,['140.207.228.6']
sts.ctrip.com,No,['180.166.109.197']
mail2.ctrip.com,No,['218.244.111.195']
car.ctrip.com,No,['140.206.211.31']
g.ctrip.com,No,['114.80.10.31']
b.ctrip.com,No,['101.226.248.18']
security.ctrip.com,No,['140.206.211.31']
z.ctrip.com,No,['140.207.228.6']
webmail.ctrip.com,No,['180.166.109.201']
lists.ctrip.com,No,['210.13.114.80']
voip.ctrip.com,No,['180.166.113.121']
calendar.ctrip.com,No,['101.226.248.1']
sms.ctrip.com,No,['112.64.124.244']
mkt.ctrip.com,No,['140.207.228.45']
card.ctrip.com,No,['114.80.10.31']
ns4.ctrip.com,No,['114.80.10.7']
parking.ctrip.com,No,['140.207.228.45']
mx2.ctrip.com,No,['112.64.124.236']
market.ctrip.com,Yes,['101.226.248.61']
mail4.ctrip.com,No,['210.13.114.39']
design.ctrip.com,No,['221.6.196.51']
mail3.ctrip.com,No,['218.244.111.197']
m.ctrip.com,No,['114.80.10.31']
service.ctrip.com,Yes,['140.207.228.177']
help.ctrip.com,No,['114.80.10.31']
pda.ctrip.com,No,['140.207.228.6']
events.ctrip.com,No,['101.226.248.25']
