IP,frequency,active
IP,frequency,active
IP,frequency,active
120.55.238.0/24,6,['120.55.238.159']
30.250.11.0/24,6,['30.250.11.135']
101.37.224.0/24,3,['101.37.224.24']
42.159.33.0/24,2,"['42.159.33.168', '42.159.33.136']"
42.159.163.0/24,2,"['42.159.163.130', '42.159.163.194']"
42.159.161.0/24,2,"['42.159.161.152', '42.159.161.184']"
42.159.40.0/24,2,"['42.159.40.66', '42.159.40.2']"
114.55.188.0/24,1,['114.55.188.141']
116.62.118.0/24,1,['116.62.118.202']
101.37.106.0/24,1,['101.37.106.50']
114.55.36.0/24,1,['114.55.36.227']
42.159.233.0/24,1,['42.159.233.91']
115.238.94.0/24,1,['115.238.94.231']
180.97.162.0/24,1,['180.97.162.205']
120.55.149.0/24,1,['120.55.149.85']
42.159.160.0/24,1,['42.159.160.36']
47.98.38.0/24,1,['47.98.38.16']
120.27.216.0/24,1,['120.27.216.90']
