IP,frequency,active
140.207.228.0/24,10,"['140.207.228.45', '140.207.228.187', '140.207.228.6']"
114.80.10.0/24,7,"['114.80.10.31', '114.80.10.85', '114.80.10.7']"
140.206.211.0/24,6,['140.206.211.31']
30.250.11.0/24,6,['30.250.11.135']
101.226.248.0/24,4,"['101.226.248.130', '101.226.248.18', '101.226.248.1', '101.226.248.25']"
112.64.124.0/24,3,"['112.64.124.249', '112.64.124.244', '112.64.124.236']"
218.244.111.0/24,2,"['218.244.111.195', '218.244.111.197']"
210.13.114.0/24,2,"['210.13.114.80', '210.13.114.39']"
180.166.109.0/24,2,"['180.166.109.197', '180.166.109.201']"
221.6.196.0/24,1,['221.6.196.51']
113.215.224.0/24,1,['113.215.224.121']
118.89.206.0/24,1,['118.89.206.133']
180.166.113.0/24,1,['180.166.113.121']
